Authors,Title,Year,Source title,Cited by,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords
"Liu Y.-C., Shen Y.-F., Gong Q., Xiao Y.-F.","Optimal laser cooling limits in the strong coupled cavity optomechanics",2014,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906888209&partnerID=40&md5=8d248d03cee1acc79b5cd7aea3858075","State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing 100871, China","Liu, Y.-C., State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing 100871, China; Shen, Y.-F., State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing 100871, China; Gong, Q., State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing 100871, China; Xiao, Y.-F., State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing 100871, China","In the strong coupled cavity optomechanics, we find the island structure in the temporal evolution map of mean phonon number. Analytical results are provided to obtain the optimal cooling limits with the frequency matching condition. © 2014 OSA.",,"Analytical results; Coupled cavity; Frequency matching; Island structure; Optimal cooling; Phonon numbers; Temporal evolution"
"Ginis V., Tassin P., Soukoulis C.M., Veretennicoff I.","Metamaterials enhancing optical forces",2014,"Proceedings of SPIE - The International Society for Optical Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902309938&doi=10.1117%2f12.2052511&partnerID=40&md5=4f48efcfecb7575be234e5c26dd9a219","Applied Physics Research Group, Vrije Universiteit Brussel, Pleinlaan 2, B-1050 Brussel, Belgium; Department of Applied Physics, Chalmers University, SE-412 96 Göteborg, Sweden; Ames Laboratory - U.S. DOE, Department of Physics and Astronomy, Iowa State University, Ames, IA 50011, United States; Institute of Electronic Structure and Lasers (IESL), FORTH, 71110 Heraklion, Crete, Greece","Ginis, V., Applied Physics Research Group, Vrije Universiteit Brussel, Pleinlaan 2, B-1050 Brussel, Belgium; Tassin, P., Department of Applied Physics, Chalmers University, SE-412 96 Göteborg, Sweden; Soukoulis, C.M., Ames Laboratory - U.S. DOE, Department of Physics and Astronomy, Iowa State University, Ames, IA 50011, United States, Institute of Electronic Structure and Lasers (IESL), FORTH, 71110 Heraklion, Crete, Greece; Veretennicoff, I., Applied Physics Research Group, Vrije Universiteit Brussel, Pleinlaan 2, B-1050 Brussel, Belgium","The interaction between light and matter involves not only an energy transfer, but also the transfer of linear momentum. In everyday life applications this linear momentum of light is too small to play any significant role. However, in nanoscale dimensions, the associated optical forces start to play an increasingly important role. These forces are, e.g., large enough for exiting experiments in the fields of cavity-optomechanics, laser cooling and optical trapping of small particles. Recently, it has been suggested that optical gradient forces can also be employed for all-optical actuation in micro- and nanophotonic systems. The typical setup consists of two slab waveguides positioned in each others vicinity such that they are coupled through the interaction of the evanescent tails. Although the gradient forces between these waveguides can be enhanced considerably using electromagnetic resonators or slow-light techniques, the resulting displacements remain relatively small. In this contribution, we present an alternative approach to enhance optical gradient forces between waveguides using a combination of transformation optics and metamaterials. Our design starts from the observation that gradient forces exponentially decay with the separation distance between the waveguides. Therefore, we employ transformation optics to annihilate the apparent distance for light between the waveguides. Analytical calculations confirm that the resulting forces indeed increase when such an annihilating cladding is inserted. Subsequently, we discuss the metamaterial implementation of this annihilating medium. Such lensing media automatically translate into anisotropic metamaterials with negative components in the permittivity and permeability tensors. Our full-wave numerical simulations show that the overall amplification is highly limited by the loss-tangent of the metamaterial cladding. However, as this cladding only needs to operate in the near-field for a specific polarization, we can also consider single-negative metamaterial implementations. We finally demonstrate that in this way metamaterials can support optical forces enhanced by more than 200 times [Phys. Rev. Lett. 110, 057401 (2013)]. © 2014 Copyright SPIE.","Electromagentic waves; Electromagnetic waveguides; Metamaterials; Optical forces; Transformation optics","Energy transfer; Light; Optics; Waveguides; Analytical calculation; Anisotropic metamaterials; Electromagnetic resonators; Electromagnetic waveguides; Optical force; Permeability tensors; Separation distances; Transformation optics; Metamaterials"
"Gloppe A., Verlot P., Dupont-Ferrier E., Kuhn A.G., Siria A., Poncharal P., Bachelier G., Vincent P., Arcizet O.","Bidimensional nano-optomechanics and topological backaction in a non-conservative radiation force field",2014,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905460366&partnerID=40&md5=94c171b40da9c964c949e1e6858cd59e","Institut Ńeel, Universit́e Grenoble Alpes - CNRS:UPR2940, 38042 Grenoble, France; Institut Lumiere Matiere, UMR5306, CNRS - Universit́e Claude Bernard Lyon 1, 69622 Villeurbanne, France","Gloppe, A., Institut Ńeel, Universit́e Grenoble Alpes - CNRS:UPR2940, 38042 Grenoble, France; Verlot, P., Institut Ńeel, Universit́e Grenoble Alpes - CNRS:UPR2940, 38042 Grenoble, France; Dupont-Ferrier, E., Institut Ńeel, Universit́e Grenoble Alpes - CNRS:UPR2940, 38042 Grenoble, France; Kuhn, A.G., Institut Ńeel, Universit́e Grenoble Alpes - CNRS:UPR2940, 38042 Grenoble, France; Siria, A., Institut Lumiere Matiere, UMR5306, CNRS - Universit́e Claude Bernard Lyon 1, 69622 Villeurbanne, France; Poncharal, P., Institut Lumiere Matiere, UMR5306, CNRS - Universit́e Claude Bernard Lyon 1, 69622 Villeurbanne, France; Bachelier, G., Institut Ńeel, Universit́e Grenoble Alpes - CNRS:UPR2940, 38042 Grenoble, France; Vincent, P., Institut Lumiere Matiere, UMR5306, CNRS - Universit́e Claude Bernard Lyon 1, 69622 Villeurbanne, France; Arcizet, O., Institut Ńeel, Universit́e Grenoble Alpes - CNRS:UPR2940, 38042 Grenoble, France","We explore the vectorial optomechanical interaction between a nanowire and a focused beam of light. The nanowire is sensitive to the topological variations of the focused laser force field which dramatically modify the phenomenology of the dynamical backaction. © 2014 Optical Society of America.",,"Nanowires; Backaction; Focused beams; Focused laser; Force fields; Optomechanical; Radiation forces; Topological variations; Topology"
"Duma V.F.","Advances in optomechanical scanning technologies for high-end biomedical applications",2014,"Mechanisms and Machine Science",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927782418&doi=10.1007%2f978-3-319-01845-4_36&partnerID=40&md5=f442651492fe963751b655856735ffb6","Aurel Vlaicu University of Arad, Arad, Romania","Duma, V.F., Aurel Vlaicu University of Arad, Arad, Romania","The paper presents an overview of our main contributions on optomechanical scanners used especially for biomedical applications with high requirements—with a focus on Optical Coherence Tomography (OCT). Rotating polygon scanners (pyramidal or prismatic, normal or inverted) are approached, in their kinematic, kinetostatic and dynamic aspects—with requirements of OCT systems. Oscillatory, galvanometer-based scanners are approached in their optomechanical aspects, with a focus on their dynamical aspects. Their optimal scanning functions were demonstrated—to produce the highest duty cycle (i.e., time efficiency) of the device: linear on the active portions with parabolic nonlinear stop-and-turn portions. This result contradicts what was previously considered in the literature, that linear plus sinusoidal scanning functions were optimal. 2D (bi-dimensional) scanning systems with Risley prisms on which we are currently working are also pointed out. © Springer International Publishing Switzerland 2014.","Galvanometers; Optical devices; Optimization; Optomechanics; Optomechatronics; Polygons; Risley prisms; Scanners; Scanning functions","Galvanometers; Medical applications; Optical devices; Optical tomography; Optimization; Prisms; Opto-mechanics; Optomechatronics; Polygons; Risley prism; Scanners; Scanning"
"Farooq K., Khan M.A., Zhang X.Y., Yi X.X.","Dynamics and transmission of single two-level atom in an optomechanical system",2014,"European Physical Journal Plus",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922575924&doi=10.1140%2fepjp%2fi2014-14088-0&partnerID=40&md5=f71c1445a78f1779a8d7950cde9b1b2d","School of Physics and Optoelectronic Technology, Dalian University of Technology, Dalian, China","Farooq, K., School of Physics and Optoelectronic Technology, Dalian University of Technology, Dalian, China; Khan, M.A., School of Physics and Optoelectronic Technology, Dalian University of Technology, Dalian, China; Zhang, X.Y., School of Physics and Optoelectronic Technology, Dalian University of Technology, Dalian, China; Yi, X.X., School of Physics and Optoelectronic Technology, Dalian University of Technology, Dalian, China","Cavity optomechanics studies the coupling between a mechanical oscillator and an electromagnetic field in a cavity. We report on the cavity optomechanical system in which a field of single mode, an arbitrary single two-level atom and a mechanical oscillator couple to the cavity field. The dynamic behavior of the optomechanical system for different values of coupling constants is studied numerically. Transmission and reflection intensities of the system are calculated analytically. We study the dynamics, transmission and reflection coefficients of the optomechanical cavity resonator theoretically. © 2014, Società Italiana di Fisica and Springer-Verlag Berlin Heidelberg.",,
"Zago L., Sarajlic M., Chevalley F.","Metrology system for the calibration of multi-dof mechanisms",2014,"Proceedings of SPIE - The International Society for Optical Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922690960&doi=10.1117%2f12.2057673&partnerID=40&md5=2e92c75ff40fcd3eb7b07c2d7fb897bd","University of Applied Sciences of Western Switzerland, School of Engineering and Business of Canton Vaud (HEIG-VD), Yverdon-les-Bains, Switzerland","Zago, L., University of Applied Sciences of Western Switzerland, School of Engineering and Business of Canton Vaud (HEIG-VD), Yverdon-les-Bains, Switzerland; Sarajlic, M., University of Applied Sciences of Western Switzerland, School of Engineering and Business of Canton Vaud (HEIG-VD), Yverdon-les-Bains, Switzerland; Chevalley, F., University of Applied Sciences of Western Switzerland, School of Engineering and Business of Canton Vaud (HEIG-VD), Yverdon-les-Bains, Switzerland","This paper presents a novel absolute position metrology system developed in our institute based on a concept using industrial vision by which USB cameras observe targets provided with special dots patterns. The system was originally devised for precision 2D measurements, then extended to 6-degree-of-freedom setups. This particular metrology system has been developed for testing and calibrating the precision hexapods aligning the secondary mirrors of the ESO VLTI auxiliary telescopes but its principle can be used for measuring the accuracy of any multi-degree-of-freedom mechanisms. The accuracy/resolution of the metrology system is typically 2-5 μm along linear degrees of freedom, respectively 5 arcsec for tip-tilt. This method is particularly affordable in cost, robust, yet accurate enough for most precision measurements in astronomical optomechanics. © 2014 SPIE.","Calibration; Hexapod; Multi-degree-of-freedom metrology","Calibration; Degrees of freedom (mechanics); Optical testing; Ultrasonic devices; Units of measurement; 2-D measurements; Absolute position; Auxiliary Telescope; Hexapod; Industrial vision; Metrology systems; Multi degree-of-freedom; Precision measurement; Telescopes"
[No author name available],"High Contrast Metastructures III",2014,"Proceedings of SPIE - The International Society for Optical Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901810103&partnerID=40&md5=439c37fd98bf3e1dbfc7a7ad7429cf80",,"","The proceedings contain 20 papers. The topics discussed include: 1550-nm wavelength-tunable HCG VCSELs; investigation on the angular dependent reflectance of coupled high-contrast gratings; GaAs/AlOx high contrast gratings for 980 nm VCSELs; high-contrast gratings for long-wavelength laser integration on silicon; GaN-based surface-emitting lasers using high contrast grating; fano resonance membrane reflector surface emitters and filters on silicon; engineering of angular dependence of high-contrast grating mirror for transverse mode control of VCSELs; subwavelength grating reflectors in MEMS tunable Fabry-Perot infrared filters with large aperture; characterization of planar microlenses made of high contrast gratings; optomechanics with high-contrast gratings; and high-contrast grating MEMS optical phase-shifters for two-dimensional free-space beam steering.",,
"McAuslan D.L., Harris G.I., Sheridan E., Bowen W.P.","Superfluid helium optomechanics",2014,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905460280&partnerID=40&md5=cd8d5511171b387f0fc266161bfc32e3","Centre for Engineered Quantum Systems, School of Mathematics and Physics, University of Queensland, St Lucia, Brisbane, QLD 4072, Australia","McAuslan, D.L., Centre for Engineered Quantum Systems, School of Mathematics and Physics, University of Queensland, St Lucia, Brisbane, QLD 4072, Australia; Harris, G.I., Centre for Engineered Quantum Systems, School of Mathematics and Physics, University of Queensland, St Lucia, Brisbane, QLD 4072, Australia; Sheridan, E., Centre for Engineered Quantum Systems, School of Mathematics and Physics, University of Queensland, St Lucia, Brisbane, QLD 4072, Australia; Bowen, W.P., Centre for Engineered Quantum Systems, School of Mathematics and Physics, University of Queensland, St Lucia, Brisbane, QLD 4072, Australia","By evanescently coupling a helium film to a high-Q optical resonator we make the first observation of superfluid helium Brownian motion. This new system has applications in quantum optomechanics, and in understanding superfluid helium properties. © 2014 OSA.",,"Helium; Helium films; Opto-mechanics; Quantum optomechanics; Superfluid helium"
"Verhagen E., Deleglise S., Weis S., Schliesser A., Kippenberg T.J.","Cavity quantum optomechanics: Coupling light and micromechanical oscillators",2014,"Proceedings of the IEEE International Conference on Micro Electro Mechanical Systems (MEMS)",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898928176&doi=10.1109%2fMEMSYS.2014.6765593&partnerID=40&md5=807e5b27b206cc653a226d3d194c3cd5","École Polytechnique Fédérale de Lausanne (EPFL), CH1015 Lausanne, Switzerland","Verhagen, E., École Polytechnique Fédérale de Lausanne (EPFL), CH1015 Lausanne, Switzerland; Deleglise, S., École Polytechnique Fédérale de Lausanne (EPFL), CH1015 Lausanne, Switzerland; Weis, S., École Polytechnique Fédérale de Lausanne (EPFL), CH1015 Lausanne, Switzerland; Schliesser, A., École Polytechnique Fédérale de Lausanne (EPFL), CH1015 Lausanne, Switzerland; Kippenberg, T.J., École Polytechnique Fédérale de Lausanne (EPFL), CH1015 Lausanne, Switzerland","Cavity optomechanics1 is a new research field that has seen spectacular advances in recent years. Optomechanics combines advances in nano-and electromechanical systems with radiation pressure enabled control. The radiation pressure backaction enables to readout mechanical motion of micro-and nanoscale mechanical oscillators with an imprecision at the standard quantum limit, enables to amplify2 mechanical motion-enabling coherent mechanical oscillators. Likewise the cooling3,4 of mechanical oscillators has enabled to access the quantum regime of optomechanical systems. Likewise mechanical degrees of freedom provide new ways to control the propagation of light via the phenomenon of optomechanically induced transparency5, which can e.g. enable switching, slowing or advancing of electromagnetic pulses6. Cavity optomechanical systems also have reached the quantum regime of mechanical oscillators, which has been long anticipated. As one example of the possible range of optomechanical phenomena, we review an optomechanical microresonator in which optical and mechanical degrees of freedom exchange energy at a rate exceeding the relevant decoherence rates in the system, enabling quantum control of a mechanical oscillator with light. Such quantum coherent coupling provided a quantum coherent link 7 between engineered microscale oscillators and the light field. © 2014 IEEE.",,"Cooling systems; Degrees of freedom (mechanics); Electromagnetic pulse; MEMS; Oscillistors; Pressure; Quantum theory; Slow light; Electromechanical systems; Mechanical oscillators; Micro-scale oscillators; Micromechanical oscillators; Nano-scale mechanical oscillators; Opto-mechanical systems; Optomechanically induced transparencies; Standard quantum limits; Oscillators (mechanical)"
"Zhang S., He S.","High-Q weakly modulated nanobeam cavity based on a suspended silicon dioxide waveguide",2014,"Progress in Electromagnetics Research Symposium",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911132981&partnerID=40&md5=7ddf4ba43da817afd2738893105a2120","Centre for Optical and Electromagnetic Research, State Key Laboratory for Modern Optical Instrumentation, Zhejiang University, Zijingang Campus, Hangzhou, China","Zhang, S., Centre for Optical and Electromagnetic Research, State Key Laboratory for Modern Optical Instrumentation, Zhejiang University, Zijingang Campus, Hangzhou, China; He, S., Centre for Optical and Electromagnetic Research, State Key Laboratory for Modern Optical Instrumentation, Zhejiang University, Zijingang Campus, Hangzhou, China","Photonic crystal (PhC) cavities have drawn plenty of attentions during the past several decades for the advantages of ultra-high Q factor and small mode volume. PhC cavities have various applications such as quantum information processing, low threshold lasers, optomechanics, and nonlinear optics. PhC cavities based on silicon material have been heavily investigated due to their compatibility with complementary metal-oxide-semiconductor (CMOS) technology, small feature size and low cost. However, apart from the advantage of high Q factor, silicon based PhC cavities suffer from the drawbacks of high insertion loss because of the mode mismatch with fiber and relatively low sensitivity especially for the sensing application. On the other hand, silicon dioxide (silica) waveguide experience relatively smaller loss and owns a similar refractive index to numerous liquid materials to be detected, which will leads to high sensitivity for a silica based PhC cavity sensor. In this paper, we propose a high Q factor (Q = 15500) silica based PhC nanobeam cavity with high sensitivity (the wavelength shift per refractive index unit (RIU) is S = 338 nm/RIU) at the telecommunication wavelength (1550 nm). Since the refractive index contrast for silica waveguide is low for the realization of the photonic bandgaps, it is essential to utilize a silica waveguide suspended in free space. The PhC nanobeam cavity is then formed by etching a series of elliptical holes, whose dimensions linearly decrease from the center to both ends, directly into the silica waveguide. For the sake of high transmission on-resonance wavelength while maintaining high Q factor, it's important to etch partly into the waveguide, which results in a low-refractive-index perturbation structure. The calculated on-resonance transmission is about 0.26. The novel proposed PhC nanobeam cavity shows a sensitivity 3 times larger than the one based on silicon counterparts and outperforms other low-index-contrast PhC cavities by a higher on-resonance transmission. Such a structure can also be used in spectrally filtering system and nonlinear optics.",,"Nanowires; Nonlinear optics; Plasma filled waveguides; Q factor measurement; Quantum optics; Resonance; Semiconducting silicon; Silica; Waveguides; Complementary metal-oxide-semiconductor technologies; Low-threshold lasers; Quantum-information processing; Refractive index units; Refractive-index perturbation; Resonance transmission; Resonance wavelengths; Telecommunication wavelengths; Refractive index"
"Kuhn A., Neuhaus L., Van Brackel E., Chartier C., Ducloux O., Le Traon O., Michel C., Pinard L., Flaminio R., Deléglise S., Briant T., Cohadon P.-F., Heidmann A.","A micropillar for cavity optomechanics",2014,"AIP Conference Proceedings",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916608738&doi=10.1063%2f1.4903097&partnerID=40&md5=cbb1cbecb5fe52e3d97bf5cbed708a35","Laboratoire Kastler Brossel, UPMC-ENS-CNRS, Paris, France; Département de Physique, ENS, Paris, France; Département Mesures Physiques, ONERA, Châtillon, France; Laboratoire des Matériaux Avancés, IN2P3-CNRS, Lyon, France","Kuhn, A., Laboratoire Kastler Brossel, UPMC-ENS-CNRS, Paris, France; Neuhaus, L., Laboratoire Kastler Brossel, UPMC-ENS-CNRS, Paris, France; Van Brackel, E., Département de Physique, ENS, Paris, France; Chartier, C., Département Mesures Physiques, ONERA, Châtillon, France; Ducloux, O., Département Mesures Physiques, ONERA, Châtillon, France; Le Traon, O., Département Mesures Physiques, ONERA, Châtillon, France; Michel, C., Laboratoire des Matériaux Avancés, IN2P3-CNRS, Lyon, France; Pinard, L., Laboratoire des Matériaux Avancés, IN2P3-CNRS, Lyon, France; Flaminio, R., Laboratoire des Matériaux Avancés, IN2P3-CNRS, Lyon, France; Deléglise, S., Laboratoire Kastler Brossel, UPMC-ENS-CNRS, Paris, France; Briant, T., Laboratoire Kastler Brossel, UPMC-ENS-CNRS, Paris, France; Cohadon, P.-F., Laboratoire Kastler Brossel, UPMC-ENS-CNRS, Paris, France; Heidmann, A., Laboratoire Kastler Brossel, UPMC-ENS-CNRS, Paris, France","Demonstrating the quantum ground state of a macroscopic mechanical object is a major experimental challenge in physics, at the origin of the rapid emergence of cavity optomechanics. We have developed a new generation of optomechanical devices, based on a microgram quartz micropillar with a very high mechanical quality factor. The structure is used as end mirror in a Fabry-Perot cavity with a high optical finesse, leading to ultra-sensitive interferometric measurement of the resonator displacement. We expect to reach the ground state of this optomechanical resonator by combining cryogenic cooling in a dilution fridge at 30 mK and radiation-pressure cooling. We have already carried out a quantum-limited measurement of the micropillar thermal noise at low temperature. © 2014 AIP Publishing LLC.","Cryogenic cooling; Optical cooling; Quantum mechanics; Quantum optics",
"Aspelmeyer M.","Quantum optomechanics",2014,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905492850&partnerID=40&md5=103f3eefa38c4b9a666055d29cc035c6","University of Vienna, Faculty of Physics, Vienna Center for Quantum Science and Technology (VCQ), Boltzmanngasse 5, A-1090, Austria","Aspelmeyer, M., University of Vienna, Faculty of Physics, Vienna Center for Quantum Science and Technology (VCQ), Boltzmanngasse 5, A-1090, Austria","This tutorial provides an introduction to the current state-of-the-art, the challenges and the prospects of achieving quantum optical control over nano-, micro- and macro-mechanical devices, i.e. quantum optomechanics. © 2014 OSA.",,"Optical control; Quantum optomechanics"
"Han K., Kim K.H., Kim J., Lee W., Liu J., Fan X., Carmon T., Bahl G.","Fabrication and testing of microfluidic optomechanical oscillators.",2014,"Journal of visualized experiments : JoVE",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905728245&partnerID=40&md5=18600d191a231f2f60f30b1db097ebde","Mechanical Science and Engineering, University of Illinois at Urbana-Champaign.; Electrical Engineering and Computer Science, University of Michigan.; Electrical Engineering and Computer Science, University of Michigan; Biomedical Engineering, University of Michigan.; Biomedical Engineering, University of Michigan.; Mechanical Science and Engineering, University of Illinois at Urbana-Champaign;","Han, K., Mechanical Science and Engineering, University of Illinois at Urbana-Champaign.; Kim, K.H., Electrical Engineering and Computer Science, University of Michigan.; Kim, J., Mechanical Science and Engineering, University of Illinois at Urbana-Champaign.; Lee, W., Electrical Engineering and Computer Science, University of Michigan; Biomedical Engineering, University of Michigan.; Liu, J., Biomedical Engineering, University of Michigan.; Fan, X., Biomedical Engineering, University of Michigan.; Carmon, T., Electrical Engineering and Computer Science, University of Michigan.; Bahl, G., Mechanical Science and Engineering, University of Illinois at Urbana-Champaign;","Cavity optomechanics experiments that parametrically couple the phonon modes and photon modes have been investigated in various optical systems including microresonators. However, because of the increased acoustic radiative losses during direct liquid immersion of optomechanical devices, almost all published optomechanical experiments have been performed in solid phase. This paper discusses a recently introduced hollow microfluidic optomechanical resonator. Detailed methodology is provided to fabricate these ultra-high-Q microfluidic resonators, perform optomechanical testing, and measure radiation pressure-driven breathing mode and SBS-driven whispering gallery mode parametric vibrations. By confining liquids inside the capillary resonator, high mechanical- and optical- quality factors are simultaneously maintained.",,"article; equipment; equipment design; methodology; microfluidic analysis; optics; oscillometry; standard; Equipment Design; Microfluidic Analytical Techniques; Optics and Photonics; Oscillometry"
"McAuslan D.L., Harris G.I., Sheridan E., Bowen W.P.","Superfluid optomechanics: Laser cooling superfluid motion",2014,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906075523&partnerID=40&md5=84eb1a5c87535212a4b26fe21ab2704c","Centre for Engineered Quantum Systems, University of Queensland, St Lucia, QLD 4072, Australia","McAuslan, D.L., Centre for Engineered Quantum Systems, University of Queensland, St Lucia, QLD 4072, Australia; Harris, G.I., Centre for Engineered Quantum Systems, University of Queensland, St Lucia, QLD 4072, Australia; Sheridan, E., Centre for Engineered Quantum Systems, University of Queensland, St Lucia, QLD 4072, Australia; Bowen, W.P., Centre for Engineered Quantum Systems, University of Queensland, St Lucia, QLD 4072, Australia","Optomechanical coupling of a helium film to a high-Q optical resonator allows the first observation and laser cooling of superfluid helium Brownian motion. This opens applications in quantum optomechanics, and in fundamental understanding superfluid helium. © 2014 OSA.",,"Helium; Laser cooling; Nanophotonics; Photonics; Silicon; Helium films; Opto-mechanics; Optomechanical; Quantum optomechanics; Superfluid motion; Superfluid helium"
"Barzanjeh S., Abdi M., Milburn G.J., Tombesi P., Vitali D.","Quantum interface between optics and microwaves with optomechanics",2013,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898748807&partnerID=40&md5=ef4b12e426403ebde669b95602ec2aa6","School of Science and Technology, Physics Division, University of Camerino, I-62032 Camerino (MC), Italy; Department of Physics, Sharif University of Technology, Tehran, Iran; Centre for Engineered Quantum Systems, School of Physical Sciences, The University of Queensland, Saint Lucia, QLD 4072, Australia","Barzanjeh, S., School of Science and Technology, Physics Division, University of Camerino, I-62032 Camerino (MC), Italy; Abdi, M., School of Science and Technology, Physics Division, University of Camerino, I-62032 Camerino (MC), Italy, Department of Physics, Sharif University of Technology, Tehran, Iran; Milburn, G.J., Centre for Engineered Quantum Systems, School of Physical Sciences, The University of Queensland, Saint Lucia, QLD 4072, Australia; Tombesi, P., School of Science and Technology, Physics Division, University of Camerino, I-62032 Camerino (MC), Italy; Vitali, D., School of Science and Technology, Physics Division, University of Camerino, I-62032 Camerino (MC), Italy",[No abstract available],,
"Srinivasan K.","Nanophotonic devices for the generation and manipulation of quantum states of light",2013,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898069366&partnerID=40&md5=95a84a254b3f57aac4a3a91ee59348c3","Center for Nanoscale Science and Technology, National Institute of Standards and Technology, Gaithersburg, MD 20899-6203, United States","Srinivasan, K., Center for Nanoscale Science and Technology, National Institute of Standards and Technology, Gaithersburg, MD 20899-6203, United States","We review recent experiments on quantum frequency conversion of single photons produced by a semiconductor quantum dot, and describe efforts to develop frequency converters using four-wave-mixing and cavity optomechanics in the silicon nitride platform. © 2013 Optical Society of America.",,"Cavity optomechanics; Nanophotonic devices; Quantum state; Single photons; Photonics; Quantum theory; Silicon; Silicon nitride; Nanophotonics"
"Wong C.W.","Controlling photons in mesoscopic systems: Precision measurements in frequency combs and optomechanics",2013,"International Conference on Optical MEMS and Nanophotonics",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892175567&doi=10.1109%2fOMN.2013.6659029&partnerID=40&md5=47a7aa373061694056fcfec03a36b6f6","Center for Integrated Science and Engineering, Solid-State Sci. and Engineering and Mechanical Engineering / Optics and Quantum Electronics IGERT, Columbia University, United States","Wong, C.W., Center for Integrated Science and Engineering, Solid-State Sci. and Engineering and Mechanical Engineering / Optics and Quantum Electronics IGERT, Columbia University, United States","Recent advances in sub-wavelength nanoscale platforms have afforded the control of light from first principles, with impact to optoelectronics and high-density secure communications. In this talk I will highlight two coherent examples where emerging mesoscopic systems can make a difference. Firstly, I will report on chip-scale Kerr frequency comb oscillators, where we have recently observed one of the shortest (74-fs) pulse mode-locking till date (Figure 1a) [1]. The frequency comb dynamics, evolution and coherent nature will be described. The CMOS-compatible frequency combs [2-5], including solitary pulses, have potential to link the RF and optical domains with low phase noise, with implications to precision optical clocks and ultrashort pulse generation. © 2013 IEEE.",,"CMOS Compatible; First principles; Frequency combs; Mesoscopic systems; Optical domains; Precision measurement; Secure communications; Ultrashort pulse generation; MOEMS; Nanophotonics; Pulse generators; Ultrashort pulses; Superconducting materials"
[No author name available],"Optical MEMS and Nanophotonics 2013, OMN 2013 - Proceedings",2013,"International Conference on Optical MEMS and Nanophotonics",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892146747&partnerID=40&md5=ad419fd891a3c72b4e76e40bb96e8b21",,"","The proceedings contain 86 papers. The topics discussed include: controlling photons in mesoscopic systems: precision measurements in frequency combs and optomechanics; forward-viewing endoscopic OCT catheter using asymmetrically resonant fiber scanner; tunable confocal hyperspectral imaging system; an electrothermal/electrostatic dual driven MEMS scanner with large in-plane and out-of-plane displacement; thermoelectrically controlled varifocal micromirror for near aberration free imaging; a physical modeling and long-term measurement of tilting angle drift caused by dielectric surface charging in MEMS micromirrors; a time-multiplexed electrostatic drive and sample interface circuit for MEMS optical scanners; high-reflectivity, broadband monolithic silicon photonic crystal mirrors on two-axis MEMS scanner by transfer-printing; and asymmetric microstructures for high light extraction and light pattern modulation.",,
"Akram U., Bowen W., Milburn G.","Entangled mechanical cat states via single photon conditional optomechanics",2013,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898076129&partnerID=40&md5=e59509a0844aef3e8b523ea8d9000856","Centre for Engineered Quantum Systems, School of Maths and Physics, University of Queensland, Brisbane, Australia","Akram, U., Centre for Engineered Quantum Systems, School of Maths and Physics, University of Queensland, Brisbane, Australia; Bowen, W., Centre for Engineered Quantum Systems, School of Maths and Physics, University of Queensland, Brisbane, Australia; Milburn, G., Centre for Engineered Quantum Systems, School of Maths and Physics, University of Queensland, Brisbane, Australia","We condition single photon driving of an interferometer with two optomechanical systems on no detections. Conditioning on long detection times of the photon from the composite system results in an entangled mechanical cat state. © OSA 2013.",,"Cat state; Detection time; Opto-mechanical systems; Opto-mechanics; Single photons; Particle beams; Quantum optics; Quantum entanglement"
